STuff1,Date,Stuff2,Stuff3,,,,,,
"Västergårde, Sundre parish, Gotland ",2006,,,,,,,,
,0,,,,,,,,
ABBASID,0,,,,,,,,
temp. al¬Saffah,0,,,,,,,,
1 Ab1 al¬Kufa ,134, 2.84 h ,233,,,,,,
,0,,,,,,,,
temp. al¬Mansur,0,,,,,,,,
2 Ab1 Madinat al¬Salam ,150,2.66,55,,,,,,
3 Ab1 Madinat al¬Salam ,1545, 1.38 f h ,702,,,,,,
,0,,,,,,,,
alMahdi,0,,,,,,,,
4 Ab1 Madinat al¬Salam ,15964, 0.99 f ,1179,,,,,,
,0,,,,,,,,
"temp. Harun al¬Rashid, issued by al¬Amin",0,,,,,,,,
5 Ab1 Madinat al¬Salam ,182, 1.41 f , 2h ,597,,,,,
,0,,,,,,,,
Harun al¬Rashid,0,,,,,,,,
6 Ab1 Madinat al¬Salam ,193,2.6,208,,,,,,
7 Ab1 Madinat Zaranj ,180, 1.28 f ,1183,,,,,,
,0,,,,,,,,
"temp. al¬Amin, issued by al¬Ma'mun",0,,,,,,,,
8 Ab1 Naysabur ,196, 0.70 f , 2n ,1209,,,,,
,0,,,,,,,,
alMa'mun,0,,,,,,,,
9 Ab1 Madinat al¬Salam ,20618, 0.92 f ,1140,,,,,,
,0,,,,,,,,
alMu`tasim,0,,,,,,,,
10 Ab2 Madinat al¬Salam ,219, 2.81 h ,88,,,,,,
11 Ab2 Samarqand ,221,2.85,207,,,,,,
,0,,,,,,,,
alMutawakkil,0,,,,,,,,
12 Ab2 Faris ,245,3,156,,,,,,
13 Ab2 Marw ,237,2.64,290,,,,,,
14 Ab2 Marw ,240,2.81,165,,,,,,
15 Ab2 Marw ,242, 2.72 f ,1250,,,,,,
16 Ab2 Marw ,245,2.81,40,,,,,,
17 Ab2 al¬Muhammadiyya ,241,3,484,,,,,,
18 Ab2 al¬Muhammadiyya ,242,2.89,477,,,,,,
19 Ab2 Samarqand ,245,2.89,607,,,,,,
20 Ab2 Samarqand ,246,2.68,483,,,,,,
21 Ab2 mint ,239,3.18,325,,,,,,
22 Ab2 mint ,23640,2.56,556,,,,,,
23 Ab2 mint ,243,2.98,194,,,,,,
24 Ab2 mint ,23346,3.1,465,,,,,,
25 Ab2 mint ,23346, 1.89 f ,800,,,,,,
26 Ab2 mint ,24046,2.75,101,,,,,,
27 Ab2 mint ,24046,2.68,230,,,,,,
28 Ab2 mint ,2406, 1.36 f ,691,,,,,,
29 Ab2 mint ,243,246, 1.52 f ,616,,,,,
,0,,,,,,,,
alMusta`in,0,,,,,,,,
30 Ab2 Marw ,248,2.97,34,,,,,,
31 Ab2 Marw ,24951,2.99,211,,,,,,
32 Ab2 Samarqand ,248,2.53,195,,,,,,
33 Ab2 alShash ,24951,2.8,35,,,,,,
34 Ab2 mint ,24951,3.15,406,,,,,,
35 Ab2 mint ,251,2.91,544,,,,,,
,0,,,,,,,,
alMu`tazz,0,,,,,,,,
36 Ab2 Arminiya ,252, 04/R02 ,2.8,193,,,,,
37 Ab2 Arminiya ,255, ,2.94,138,,,,,
38 Ab2 Isbahan ,252, 2.14 f ,859,,,,,,
39 Ab2 Samarqand ,253,2.56,206,,,,,,
40 Ab2 Samarqand ,253, 1.65 f , 1n ,639,,,,,
41 Ab2 Samarqand ,25255, 1.23 fh ,1059,,,,,,
42 Ab2 mint ,253,2.9,609,,,,,,
,0,,,,,,,,
caliph,0,,,,,,,,
43 Ab2 mint ,21955,3.35,613,,,,,,
44 Ab2 mint ,21955,3.24,410,,,,,,
45 Ab2 mint ,21955,3.18,111,,,,,,
46 Ab2 mint ,21955,2.91,444,,,,,,
47 Ab2 mint ,21955,2.84,606,,,,,,
48 Ab2 mint ,21955,2.84,608,,,,,,
49 Ab2 mint ,21955,2.76,364,,,,,,
50 Ab2 mint ,21955, 1.65 f ,879,,,,,,
51 Ab2 mint ,21955, 1.64 f ,1363,,,,,,
52 Ab2 mint ,21955,2.82,58,,,,,,
